ID,Year,Month,Model,Features,Parameters,Predicted Production,Actual Production,Error,% Error,Crop,Feature Values,Abs_Error,Abs_Pct_Error
,2018,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,3,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2019,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2020,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2021,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2022,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2023,4,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2017,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Rice,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Corn,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Millet,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Sorghum,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
,2018,5,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 1, 'ma': 2}",,,,,Peanut,"Rice_Weighted_Rainfall_Transformed          781.459427
Rice_Weighted_VHI_Transformed                 0.648576
Rice_Weighted_VHI_Cumulative_Transformed     17.083005
Name: 128, dtype: float64",,
